"surveywave","state_id","school_id","n_tea_id","teacher_id","treatment","outcome_co","n_panel_obs_wt","n_panel_obs_less9_wt","strata","fpc_school","n_panel_obs","n_panel_obs_less9","CE","C1","lo3_a","lo3_b","lo3_c","lo3_d","lo3_e","lo3_f","lo3_g","lo3_h","lo3_i","lo3_j","lo3_k","lo3_l","lo3_m","lo3_n","lo3_o","lo3_p","lo3_q","lo3_r","lo3_s","lo3_t","lo3_u","lo3_v","lo3_w","lo3_x","lo3_y","lo3_z","lo6_a","lo6_b","lo6_c","lo6_d","lo6_e","lo6_f","lo6_g","lo6_h","lo6_i","lo6_j","lo6_k","lo6_l","lo6_m","lo6_n","lo6_o","lo6_p","lo6_q","lo6_r","lo6_s","lo6_t","lo6_u","lo6_v","lo6_w","lo6_x","lo6_y","lo6_z","lo9_a","lo9_b","lo9_c","lo9_d","lo9_e","lo9_f","lo9_g","lo9_h","lo9_i","lo9_j","lo9_k","lo9_l","lo9_m","lo9_n","lo9_o","lo9_p","lo9_q","lo9_r","lo9_s","lo9_t","lo9_u","lo9_v","lo9_w","lo9_x","lo9_y","lo9_z","lo12_a","lo12_b","lo12_c","lo12_d","lo12_e","lo12_f","lo12_g","lo12_h","lo12_i","lo12_j","lo12_k","lo12_l","lo12_m","lo12_n","lo12_o","lo12_p","lo12_q","lo12_r","lo12_s","lo12_t","lo12_u","lo12_v","lo12_w","lo12_x","lo12_y","lo12_z","lo15_a","lo15_b","lo15_c","lo15_d","lo15_e","lo15_f","lo15_g","lo15_h","lo15_i","lo15_j","lo15_k","lo15_l","lo15_m","lo15_n","lo15_o","lo15_p","lo15_q","lo15_r","lo15_s","lo15_t","lo15_u","lo15_v","lo15_w","lo15_x","lo15_y","lo15_z","lo18_a","lo18_b","lo18_c","lo18_d","lo18_e","lo18_f","lo18_g","lo18_h","lo18_i","lo18_j","lo18_k","lo18_l","lo18_m","lo18_n","lo18_o","lo18_p","lo18_q","lo18_r","lo18_s","lo18_t","lo18_u","lo18_v","lo18_w","lo18_x","lo18_y","lo18_z","lo21_a","lo21_b","lo21_c","lo21_d","lo21_e","lo21_f","lo21_g","lo21_h","lo21_i","lo21_j","lo21_k","lo21_l","lo21_m","lo21_n","lo21_o","lo21_p","lo21_q","lo21_r","lo21_s","lo21_t","lo21_u","lo21_v","lo21_w","lo21_x","lo21_y","lo21_z","lo24_a","lo24_b","lo24_c","lo24_d","lo24_e","lo24_f","lo24_g","lo24_h","lo24_i","lo24_j","lo24_k","lo24_l","lo24_m","lo24_n","lo24_o","lo24_p","lo24_q","lo24_r","lo24_s","lo24_t","lo24_u","lo24_v","lo24_w","lo24_x","lo24_y","lo24_z","lo27_a","lo27_b","lo27_c","lo27_d","lo27_e","lo27_f","lo27_g","lo27_h","lo27_i","lo27_j","lo27_k","lo27_l","lo27_m","lo27_n","lo27_o","lo27_p","lo27_q","lo27_r","lo27_s","lo27_t","lo27_u","lo27_v","lo27_w","lo27_x","lo27_y","lo27_z","lo30_a","lo30_b","lo30_c","lo30_d","lo30_e","lo30_f","lo30_g","lo30_h","lo30_i","lo30_j","lo30_k","lo30_l","lo30_m","lo30_n","lo30_o","lo30_p","lo30_q","lo30_r","lo30_s","lo30_t","lo30_u","lo30_v","lo30_w","lo30_x","lo30_y","lo30_z","lo33_a","lo33_b","lo33_c","lo33_d","lo33_e","lo33_f","lo33_g","lo33_h","lo33_i","lo33_j","lo33_k","lo33_l","lo33_m","lo33_n","lo33_o","lo33_p","lo33_q","lo33_r","lo33_s","lo33_t","lo33_u","lo33_v","lo33_w","lo33_x","lo33_y","lo33_z","lo36_a","lo36_b","lo36_c","lo36_d","lo36_e","lo36_f","lo36_g","lo36_h","lo36_i","lo36_j","lo36_k","lo36_l","lo36_m","lo36_n","lo36_o","lo36_p","lo36_q","lo36_r","lo36_s","lo36_t","lo36_u","lo36_v","lo36_w","lo36_x","lo36_y","lo36_z","lo39_a","lo39_b","lo39_c","lo39_d","lo39_e","lo39_f","lo39_g","lo39_h","lo39_i","lo39_j","lo39_k","lo39_l","lo39_m","lo39_n","lo39_o","lo39_p","lo39_q","lo39_r","lo39_s","lo39_t","lo39_u","lo39_v","lo39_w","lo39_x","lo39_y","lo39_z","lo42_a","lo42_b","lo42_c","lo42_d","lo42_e","lo42_f","lo42_g","lo42_h","lo42_i","lo42_j","lo42_k","lo42_l","lo42_m","lo42_n","lo42_o","lo42_p","lo42_q","lo42_r","lo42_s","lo42_t","lo42_u","lo42_v","lo42_w","lo42_x","lo42_y","lo42_z","lo45_a","lo45_b","lo45_c","lo45_d","lo45_e","lo45_f","lo45_g","lo45_h","lo45_i","lo45_j","lo45_k","lo45_l","lo45_m","lo45_n","lo45_o","lo45_p","lo45_q","lo45_r","lo45_s","lo45_t","lo45_u","lo45_v","lo45_w","lo45_x","lo45_y","lo45_z","praise","reprimand","lessonfinished","C16","C17","C18_1","C18_2","C18_3","C18_4","C19_1","C19_2","C19_3","C19_4","C19_5","C19_6","C19_7","C19_8","C19_9","C19_10","C19_11","C19_10_other","C20","C20_other","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q19","n_obs_to_36min"
2,1,142,1423,3,0,1,1.5485532283783,1.54473352432251,160,0.363636374473572,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,29,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,,2,2,2,,2,2,97,2,,2,,,,,,2,2,2,2,1,2,2,2,0
2,1,143,1431,1,0,1,1.64542877674103,1.64999938011169,160,0.363636374473572,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,,16,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,,2,,2,2,2,,2,2,97,2,,2,,2,,2,,2,2,2,2,2,2,1,2,0
2,1,147,1473,3,1,1,0.774276614189148,0.772366762161255,171,0.363636374473572,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,80,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,,2,,2,2,2,,2,2,97,1,1,2,,1,1,1,1,2,1,2,2,2,2,2,2,0
2,1,147,1474,4,1,1,0.774276614189148,0.772366762161255,171,0.363636374473572,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,1,,49,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,,3,,2,2,2,,2,2,97,2,,2,,,,,,2,2,2,2,2,2,1,2,0
2,1,148,1482,2,1,1,1.5485532283783,1.54473352432251,171,0.363636374473572,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,0,2,1,38,,,,,2,1,1,2,1,2,2,2,2,2,2,,1,,2,2,2,,2,2,97,2,,2,,2,,2,,2,2,2,1,2,2,2,2,0
2,1,155,1552,2,1,1,1.5485532283783,1.54473352432251,171,0.363636374473572,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,13,0,2,1,13,,,,,2,1,1,2,1,2,2,2,2,2,2,,1,,2,2,2,,2,2,97,1,1,2,,2,,2,,2,2,2,2,2,1,2,2,0
2,1,158,1583,3,0,1,1.26699805259705,1.26387298107147,170,0.16666667163372,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,,42,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,,2,,2,2,2,,2,2,97,2,,2,,2,,2,,2,2,2,1,2,2,2,2,0
2,1,158,1584,4,0,1,1.26699805259705,1.26387298107147,170,0.16666667163372,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,11,6,2,1,30,,,,,2,1,1,1,2,1,2,2,2,2,2,,2,,2,2,2,,2,2,97,2,,2,,2,,2,,2,1,2,2,2,2,2,2,0
2,1,167,1672,2,0,1,1.26699805259705,1.26387298107147,170,0.16666667163372,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,1,,21,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,,1,,2,2,2,,2,2,97,2,,2,,2,,2,,1,1,1,1,2,2,2,2,0
2,1,167,1673,3,0,1,1.26699805259705,1.26387298107147,170,0.16666667163372,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,24,0,2,2,21,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,,11,,2,2,2,,2,2,97,2,,2,,,,,,1,1,1,1,2,2,2,2,0
2,1,169,1692,2,1,1,0.580707430839539,0.579275071620941,181,0.363636374473572,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,,69,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,,2,,2,2,2,,2,2,97,1,1,2,,2,,1,1,2,2,2,1,2,2,2,2,0
2,1,169,1693,3,1,1,0.580707430839539,0.579275071620941,181,0.363636374473572,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,,66,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,,1,,2,2,2,,2,2,97,2,,2,,2,,1,1,2,2,2,1,2,2,2,2,0
2,1,173,1732,2,1,1,0.387138307094574,0.386183381080627,181,0.363636374473572,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,,92,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,,2,,2,2,2,,2,2,97,2,,2,,2,,2,,2,2,2,2,1,2,2,2,0
2,1,173,1733,3,1,1,0.387138307094574,0.386183381080627,181,0.363636374473572,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,,65,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,,1,,2,2,2,,2,2,97,2,,2,,2,,2,,2,1,2,2,2,2,2,2,0
